County Formatted,County,State Formatted,State,Population
Autauga,AUTAUGA,Alabama,ALABAMA,55869
Baldwin,BALDWIN,Alabama,ALABAMA,223234
Barbour,BARBOUR,Alabama,ALABAMA,24686
Bibb,BIBB,Alabama,ALABAMA,22394
Blount,BLOUNT,Alabama,ALABAMA,57826
Bullock,BULLOCK,Alabama,ALABAMA,10101
Butler,BUTLER,Alabama,ALABAMA,19448
Calhoun,CALHOUN,Alabama,ALABAMA,113605
Chambers,CHAMBERS,Alabama,ALABAMA,33254
Cherokee,CHEROKEE,Alabama,ALABAMA,26196
Chilton,CHILTON,Alabama,ALABAMA,44428
Choctaw,CHOCTAW,Alabama,ALABAMA,12589
Clarke,CLARKE,Alabama,ALABAMA,23622
Clay,CLAY,Alabama,ALABAMA,13235
Cleburne,CLEBURNE,Alabama,ALABAMA,14910
Coffee,COFFEE,Alabama,ALABAMA,52342
Colbert,COLBERT,Alabama,ALABAMA,55241
Conecuh,CONECUH,Alabama,ALABAMA,12067
Coosa,COOSA,Alabama,ALABAMA,10663
Covington,COVINGTON,Alabama,ALABAMA,37049
Crenshaw,CRENSHAW,Alabama,ALABAMA,13772
Cullman,CULLMAN,Alabama,ALABAMA,83768
Dale,DALE,Alabama,ALABAMA,49172
Dallas,DALLAS,Alabama,ALABAMA,37196
DeKalb,DEKALB,Alabama,ALABAMA,71513
Elmore,ELMORE,Alabama,ALABAMA,81209
Escambia,ESCAMBIA,Alabama,ALABAMA,36633
Etowah,ETOWAH,Alabama,ALABAMA,102268
Fayette,FAYETTE,Alabama,ALABAMA,16302
Franklin,FRANKLIN,Alabama,ALABAMA,31362
Geneva,GENEVA,Alabama,ALABAMA,26271
Greene,GREENE,Alabama,ALABAMA,8111
Hale,HALE,Alabama,ALABAMA,14651
Henry,HENRY,Alabama,ALABAMA,17205
Houston,HOUSTON,Alabama,ALABAMA,105882
Jackson,JACKSON,Alabama,ALABAMA,51626
Jefferson,JEFFERSON,Alabama,ALABAMA,658573
Lamar,LAMAR,Alabama,ALABAMA,13805
Lauderdale,LAUDERDALE,Alabama,ALABAMA,92729
Lawrence,LAWRENCE,Alabama,ALABAMA,32924
Lee,LEE,Alabama,ALABAMA,164542
Limestone,LIMESTONE,Alabama,ALABAMA,98915
Lowndes,LOWNDES,Alabama,ALABAMA,9726
Macon,MACON,Alabama,ALABAMA,18068
Madison,MADISON,Alabama,ALABAMA,372909
Marengo,MARENGO,Alabama,ALABAMA,18863
Marion,MARION,Alabama,ALABAMA,29709
Marshall,MARSHALL,Alabama,ALABAMA,96774
Mobile,MOBILE,Alabama,ALABAMA,413210
Monroe,MONROE,Alabama,ALABAMA,20733
Montgomery,MONTGOMERY,Alabama,ALABAMA,226486
Morgan,MORGAN,Alabama,ALABAMA,119679
Perry,PERRY,Alabama,ALABAMA,8923
