County Formatted,County,State Formatted,State
Autauga,AUTAUGA,Alabama,ALABAMA
Baldwin,BALDWIN,Alabama,ALABAMA
Barbour,BARBOUR,Alabama,ALABAMA
Bibb,BIBB,Alabama,ALABAMA
Blount,BLOUNT,Alabama,ALABAMA
Bullock,BULLOCK,Alabama,ALABAMA
Butler,BUTLER,Alabama,ALABAMA
Calhoun,CALHOUN,Alabama,ALABAMA
Chambers,CHAMBERS,Alabama,ALABAMA
Cherokee,CHEROKEE,Alabama,ALABAMA
Chilton,CHILTON,Alabama,ALABAMA
Choctaw,CHOCTAW,Alabama,ALABAMA
Clarke,CLARKE,Alabama,ALABAMA
Clay,CLAY,Alabama,ALABAMA
Cleburne,CLEBURNE,Alabama,ALABAMA
Coffee,COFFEE,Alabama,ALABAMA
Colbert,COLBERT,Alabama,ALABAMA
Conecuh,CONECUH,Alabama,ALABAMA
Coosa,COOSA,Alabama,ALABAMA
Covington,COVINGTON,Alabama,ALABAMA
Crenshaw,CRENSHAW,Alabama,ALABAMA
Cullman,CULLMAN,Alabama,ALABAMA
Dale,DALE,Alabama,ALABAMA
Dallas,DALLAS,Alabama,ALABAMA
DeKalb,DEKALB,Alabama,ALABAMA
Elmore,ELMORE,Alabama,ALABAMA
Escambia,ESCAMBIA,Alabama,ALABAMA
Etowah,ETOWAH,Alabama,ALABAMA
Fayette,FAYETTE,Alabama,ALABAMA
Franklin,FRANKLIN,Alabama,ALABAMA
Geneva,GENEVA,Alabama,ALABAMA
Greene,GREENE,Alabama,ALABAMA
Hale,HALE,Alabama,ALABAMA
Henry,HENRY,Alabama,ALABAMA
Houston,HOUSTON,Alabama,ALABAMA
Jackson,JACKSON,Alabama,ALABAMA
Jefferson,JEFFERSON,Alabama,ALABAMA
Lamar,LAMAR,Alabama,ALABAMA
Lauderdale,LAUDERDALE,Alabama,ALABAMA
Lawrence,LAWRENCE,Alabama,ALABAMA
Lee,LEE,Alabama,ALABAMA
Limestone,LIMESTONE,Alabama,ALABAMA
Lowndes,LOWNDES,Alabama,ALABAMA
Macon,MACON,Alabama,ALABAMA
Madison,MADISON,Alabama,ALABAMA
Marengo,MARENGO,Alabama,ALABAMA
Marion,MARION,Alabama,ALABAMA
Marshall,MARSHALL,Alabama,ALABAMA
Mobile,MOBILE,Alabama,ALABAMA
Monroe,MONROE,Alabama,ALABAMA
Montgomery,MONTGOMERY,Alabama,ALABAMA
Morgan,MORGAN,Alabama,ALABAMA
Perry,PERRY,Alabama,ALABAMA
Pickens,PICKENS,Alabama,ALABAMA
Pike,PIKE,Alabama,ALABAMA
Randolph,RANDOLPH,Alabama,ALABAMA
Russell,RUSSELL,Alabama,ALABAMA
St. Clair,ST.CLAIR,Alabama,ALABAMA
Shelby,SHELBY,Alabama,ALABAMA
Sumter,SUMTER,Alabama,ALABAMA
Talladega,TALLADEGA,Alabama,ALABAMA
Tallapoosa,TALLAPOOSA,Alabama,ALABAMA
Tuscaloosa,TUSCALOOSA,Alabama,ALABAMA
Walker,WALKER,Alabama,ALABAMA
Washington,WASHINGTON,Alabama,ALABAMA
Wilcox,WILCOX,Alabama,ALABAMA
Winston,WINSTON,Alabama,ALABAMA
Aleutians East Borough,ALEUTIANSEASTBOROUGH,Alaska,ALASKA
Aleutians West Census Area,ALEUTIANSWESTCENSUSAREA,Alaska,ALASKA
Anchorage Municipality,ANCHORAGEMUNICIPALITY,Alaska,ALASKA
Bethel Census Area,BETHELCENSUSAREA,Alaska,ALASKA
Bristol Bay Borough,BRISTOLBAYBOROUGH,Alaska,ALASKA
Denali Borough,DENALIBOROUGH,Alaska,ALASKA
Dillingham Census Area,DILLINGHAMCENSUSAREA,Alaska,ALASKA
Fairbanks North Star Borough,FAIRBANKSNORTHSTARBOROUGH,Alaska,ALASKA
Haines Borough,HAINESBOROUGH,Alaska,ALASKA
Hoonah-Angoon Census Area,HOONAH-ANGOONCENSUSAREA,Alaska,ALASKA
Juneau City and Borough,JUNEAUCITYANDBOROUGH,Alaska,ALASKA
Kenai Peninsula Borough,KENAIPENINSULABOROUGH,Alaska,ALASKA
Ketchikan Gateway Borough,KETCHIKANGATEWAYBOROUGH,Alaska,ALASKA
Kodiak Island Borough,KODIAKISLANDBOROUGH,Alaska,ALASKA
Lake and Peninsula Borough,LAKEANDPENINSULABOROUGH,Alaska,ALASKA
Matanuska-Susitna Borough,MATANUSKA-SUSITNABOROUGH,Alaska,ALASKA
Nome Census Area,NOMECENSUSAREA,Alaska,ALASKA
North Slope Borough,NORTHSLOPEBOROUGH,Alaska,ALASKA
Northwest Arctic Borough,NORTHWESTARCTICBOROUGH,Alaska,ALASKA
Petersburg Census Area,PETERSBURGCENSUSAREA,Alaska,ALASKA
Prince of Wales-Hyder Census Area,PRINCEOFWALES-HYDERCENSUSAREA,Alaska,ALASKA
Sitka City and Borough,SITKACITYANDBOROUGH,Alaska,ALASKA
Skagway Municipality,SKAGWAYMUNICIPALITY,Alaska,ALASKA
Southeast Fairbanks Census Area,SOUTHEASTFAIRBANKSCENSUSAREA,Alaska,ALASKA
Valdez-Cordova Census Area,VALDEZ-CORDOVACENSUSAREA,Alaska,ALASKA
Wade Hampton Census Area,WADEHAMPTONCENSUSAREA,Alaska,ALASKA
Wrangell City and Borough,WRANGELLCITYANDBOROUGH,Alaska,ALASKA
Yakutat City and Borough,YAKUTATCITYANDBOROUGH,Alaska,ALASKA
Yukon-Koyukuk Census Area,YUKON-KOYUKUKCENSUSAREA,Alaska,ALASKA
Apache,APACHE,Arizona,ARIZONA
Cochise,COCHISE,Arizona,ARIZONA
Coconino,COCONINO,Arizona,ARIZONA
Gila,GILA,Arizona,ARIZONA
Graham,GRAHAM,Arizona,ARIZONA
Greenlee,GREENLEE,Arizona,ARIZONA
La Paz,LAPAZ,Arizona,ARIZONA
Maricopa,MARICOPA,Arizona,ARIZONA
Mohave,MOHAVE,Arizona,ARIZONA
Navajo,NAVAJO,Arizona,ARIZONA
Pima,PIMA,Arizona,ARIZONA
Pinal,PINAL,Arizona,ARIZONA
Santa Cruz,SANTACRUZ,Arizona,ARIZONA
Yavapai,YAVAPAI,Arizona,ARIZONA
Yuma,YUMA,Arizona,ARIZONA
Arkansas,ARKANSAS,Arkansas,ARKANSAS
Ashley,ASHLEY,Arkansas,ARKANSAS
Baxter,BAXTER,Arkansas,ARKANSAS
Benton,BENTON,Arkansas,ARKANSAS
Boone,BOONE,Arkansas,ARKANSAS
Bradley,BRADLEY,Arkansas,ARKANSAS
Calhoun,CALHOUN,Arkansas,ARKANSAS
Carroll,CARROLL,Arkansas,ARKANSAS
Chicot,CHICOT,Arkansas,ARKANSAS
Clark,CLARK,Arkansas,ARKANSAS
Clay,CLAY,Arkansas,ARKANSAS
Cleburne,CLEBURNE,Arkansas,ARKANSAS
Cleveland,CLEVELAND,Arkansas,ARKANSAS
Columbia,COLUMBIA,Arkansas,ARKANSAS
Conway,CONWAY,Arkansas,ARKANSAS
Craighead,CRAIGHEAD,Arkansas,ARKANSAS
Crawford,CRAWFORD,Arkansas,ARKANSAS
Crittenden,CRITTENDEN,Arkansas,ARKANSAS
Cross,CROSS,Arkansas,ARKANSAS
