"PROVIDER","NEW_PROV","STATUS17","SHORTNAME","PNAME","PCITY","PSTATE","PZIP","HSA","HSANAME","HRR","HRRNAME","FCOUNTY","FCNTYNAME","POSbeds","SYSNAME","AHAbeds","CATEGORY","TEACHSTATUS","HOSPTYPE","NCI_CENTER","EXCL_FLAG","ICU_FLAG"
"010001","010001","9.OK?","Southeast Alabama Medical Center","SOUTHEAST ALABAMA MEDICAL CENTER","DOTHAN","AL","36301",1026,"AL- DOTHAN",2,"AL- DOTHAN","01069","AL-Houston County",408,,387,,,"4.Other acute care hosp",,"9.OK?",
"010005","010005","9.OK?","Marshall Medical Center South","MARSHALL MEDICAL CENTER SOUTH","BOAZ","AL","35957",1012,"AL- BOAZ",1,"AL- BIRMINGHAM","01095","AL-Marshall County",240,"Marshall Health System",114,,,"4.Other acute care hosp",,"9.OK?",
"010006","010006","9.OK?","Eliza Coffee Memorial Hospital","ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL","35631",1036,"AL- FLORENCE",1,"AL- BIRMINGHAM","01077","AL-Lauderdale County",358,"RCCH HealthCare Partners",278,,,"4.Other acute care hosp",,"9.OK?",
"010007","010007","9.OK?","Mizell Memorial Hospital","MIZELL MEMORIAL HOSPITAL","OPP","AL","36467",1065,"AL- OPP",2,"AL- DOTHAN","01039","AL-Covington County",85,,59,,,"4.Other acute care hosp",,"9.OK?",
"010008","010008","9.OK?","Crenshaw Community Hospital","CRENSHAW COMMUNITY HOSPITAL","LUVERNE","AL","36049",1056,"AL- LUVERNE",7,"AL- MONTGOMERY","01041","AL-Crenshaw County",45,,65,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010011","010011","9.OK?","St. Vincent's East","ST VINCENT'S EAST","BIRMINGHAM","AL","35235",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",326,"Ascension Healthcare",362,,,"4.Other acute care hosp",,"9.OK?",
"010012","010012","9.OK?","Dekalb Regional Medical Center","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE","AL","35968",1038,"AL- FORT PAYNE",1,"AL- BIRMINGHAM","01049","AL-DeKalb County",116,"Quorum Health",115,,,"4.Other acute care hosp",,"9.OK?",
"010016","010016","9.OK?","Shelby Baptist Medical Center","SHELBY BAPTIST MEDICAL CENTER","ALABASTER","AL","35007",1001,"AL- ALABASTER",1,"AL- BIRMINGHAM","01117","AL-Shelby County",212,"TENET Healthcare Corporation",231,,,"4.Other acute care hosp",,"9.OK?",
"010018","010018","9.OK?","Callahan Eye Hospital","UAB CALLAHAN EYE HOSPITAL AUTHORITY","BIRMINGHAM","AL","35233",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",106,,,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010019","010019","9.OK?","Helen Keller Hospital","HELEN KELLER MEMORIAL HOSPITAL","SHEFFIELD","AL","35660",1061,"AL- MUSCLE SHL/SHEFFIELD",1,"AL- BIRMINGHAM","01033","AL-Colbert County",185,"Huntsville Hospital Health System",145,,,"4.Other acute care hosp",,"9.OK?",
"010021","010021","9.OK?","Dale Medical Center","DALE MEDICAL CENTER","OZARK","AL","36360",1066,"AL- OZARK",2,"AL- DOTHAN","01045","AL-Dale County",77,,69,,,"4.Other acute care hosp",,"9.OK?",
"010022","010022","9.OK?","Cherokee Medical Center","FLOYD CHEROKEE MEDICAL CENTER","CENTRE","AL","35960",1018,"AL- CENTRE",148,"GA- ROME","01019","AL-Cherokee County",60,"Floyd Healthcare Management",45,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010023","010023","9.OK?","Baptist Medical Center South","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY","AL","36116",1059,"AL- MONTGOMERY",7,"AL- MONTGOMERY","01101","AL-Montgomery County",394,"Baptist Health",389,,,"4.Other acute care hosp",,"9.OK?",
"010024","010024","9.OK?","Jackson Hospital And Clinic","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL","36106",1059,"AL- MONTGOMERY",7,"AL- MONTGOMERY","01101","AL-Montgomery County",327,,262,,,"4.Other acute care hosp",,"9.OK?",
"010029","010029","9.OK?","East Alabama Medical Center","EAST ALABAMA MEDICAL CENTER","OPELIKA","AL","36801",1064,"AL- OPELIKA",1,"AL- BIRMINGHAM","01081","AL-Lee County",382,,344,,,"4.Other acute care hosp",,"9.OK?",
"010032","010032","9.OK?","Wedowee Hospital","TANNER MEDICAL CENTER-EAST ALABAMA","WEDOWEE","AL","36278",1086,"AL- WEDOWEE",1,"AL- BIRMINGHAM","01111","AL-Randolph County",34,"Tanner Health System",26,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010033","010033","9.OK?","University Of Alabama Hospital","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM","AL","35233",1011,"AL- BIRMINGHAM",1,"AL- BIRMINGHAM","01073","AL-Jefferson County",1028,"UAB Health System",1191,"Integrated","Major Teaching","1.Integrated AMC","1.NCI-CCC","9.OK?",
"010034","010034","9.OK?","Community Hospital","COMMUNITY HOSPITAL INC","TALLASSEE","AL","36078",1079,"AL- TALLASSEE",7,"AL- MONTGOMERY","01051","AL-Elmore County",59,,47,,,"4.Other acute care hosp",,"9.OK?",
"010035","010035","9.OK?","Cullman Regional Medical Center","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN","AL","35058",1022,"AL- CULLMAN",1,"AL- BIRMINGHAM","01043","AL-Cullman County",115,,115,,,"4.Other acute care hosp",,"9.OK?",
"010036","010036","9.OK?","Andalusia Health","ANDALUSIA HEALTH","ANDALUSIA","AL","36420",1003,"AL- ANDALUSIA",134,"FL- PENSACOLA","01039","AL-Covington County",88,"LifePoint Health",88,,,"4.Other acute care hosp",,"9.OK?",
"010038","010038","9.OK?","Stringfellow Memorial Hospital","STRINGFELLOW MEMORIAL HOSPITAL","ANNISTON","AL","36201",1004,"AL- ANNISTON",1,"AL- BIRMINGHAM","01015","AL-Calhoun County",125,"Regional Medical Center",88,,,"4.Other acute care hosp",,"9.OK?",
"010039","010039","9.OK?","Huntsville Hospital","HUNTSVILLE HOSPITAL","HUNTSVILLE","AL","35801",1051,"AL- HUNTSVILLE",5,"AL- HUNTSVILLE","01089","AL-Madison County",846,"Huntsville Hospital Health System",927,,,"4.Other acute care hosp",,"9.OK?",
"010040","010040","9.OK?","Gadsden Regional Medical Center","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL","35903",1039,"AL- GADSDEN",1,"AL- BIRMINGHAM","01055","AL-Etowah County",331,"Community Health Systems, Inc.",279,,,"4.Other acute care hosp",,"9.OK?",
"010044","010044","9.OK?","N. Mississippi Med Ctr-Hamilton","MARION REGIONAL MEDICAL CENTER","HAMILTON","AL","35570",1048,"AL- HAMILTON",262,"MS- TUPELO","01093","AL-Marion County",57,"North Mississippi Health Services, Inc.",15,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010045","010045","9.OK?","Fayette Medical Center","FAYETTE MEDICAL CENTER","FAYETTE","AL","35555",1033,"AL- FAYETTE",9,"AL- TUSCALOOSA","01057","AL-Fayette County",61,"DCH Health System",45,,,"4.Other acute care hosp",,"9.OK?",
"010046","010046","9.OK?","Riverview Regional Med Ctr","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL","35901",1039,"AL- GADSDEN",1,"AL- BIRMINGHAM","01055","AL-Etowah County",262,"Prime Healthcare Services",280,,,"4.Other acute care hosp",,"9.OK?",
"010047","010047","9.OK?","Georgiana Hospital","GEORGIANA MEDICAL CENTER","GEORGIANA","AL","36033",1044,"AL- GREENVILLE",7,"AL- MONTGOMERY","01013","AL-Butler County",22,,22,,,"4.Other acute care hosp",,"9.OK?","noICUdays"
"010049","010049","9.OK?","Medical Center Enterprise","MEDICAL CENTER ENTERPRISE","ENTERPRISE","AL","36330",1028,"AL- ENTERPRISE",2,"AL- DOTHAN","01031","AL-Coffee County",99,"Community Health Systems, Inc.",70,,,"4.Other acute care hosp",,"9.OK?",
